id,conference,college,name,full_name,abbreviation
1,1,Boston College,Eagles,Boston College Eagles,BC
2,1,California,Golden Bears,California Golden Bears,CAL
3,1,Clemson,Tigers,Clemson Tigers,CLEM
4,1,Duke,Blue Devils,Duke Blue Devils,DUKE
5,1,Florida State,Seminoles,Florida State Seminoles,FSU
6,1,Georgia Tech,Yellow Jackets,Georgia Tech Yellow Jackets,GT
7,1,Louisville,Cardinals,Louisville Cardinals,LOU
8,1,Miami,Hurricanes,Miami Hurricanes,MIA
9,1,NC State,Wolfpack,NC State Wolfpack,NCSU
10,1,North Carolina,Tar Heels,North Carolina Tar Heels,UNC
11,1,Pittsburgh,Panthers,Pittsburgh Panthers,PITT
12,1,SMU,Mustangs,SMU Mustangs,SMU
13,1,Stanford,Cardinal,Stanford Cardinal,STAN
14,1,Syracuse,Orange,Syracuse Orange,SYR
15,1,Virginia,Cavaliers,Virginia Cavaliers,UVA
16,1,Virginia Tech,Hokies,Virginia Tech Hokies,VT
17,1,Wake Forest,Demon Deacons,Wake Forest Demon Deacons,WAKE
18,2,Army,Black Knights,Army Black Knights,ARMY
19,2,Charlotte,49ers,Charlotte 49ers,CLT
20,2,East Carolina,Pirates,East Carolina Pirates,ECU
21,2,Florida Atlantic,Owls,Florida Atlantic Owls,FAU
22,2,Memphis,Tigers,Memphis Tigers,MEM
23,2,Navy,Midshipmen,Navy Midshipmen,NAVY
24,2,North Texas,Mean Green,North Texas Mean Green,UNT
25,2,Rice,Owls,Rice Owls,RICE
26,2,South Florida,Bulls,South Florida Bulls,USF
27,2,Temple,Owls,Temple Owls,TEM
28,2,Tulane,Green Wave,Tulane Green Wave,TULN
29,2,Tulsa,Golden Hurricane,Tulsa Golden Hurricane,TLSA
30,2,UAB,Blazers,UAB Blazers,UAB
31,2,UTSA,Roadrunners,UTSA Roadrunners,UTSA
32,3,Arizona State,Sun Devils,Arizona State Sun Devils,ASU
33,3,Arizona,Wildcats,Arizona Wildcats,ARIZ
34,3,BYU,Cougars,BYU Cougars,BYU
35,3,Baylor,Bears,Baylor Bears,BAY
36,3,Cincinnati,Bearcats,Cincinnati Bearcats,CIN
37,3,Colorado,Buffaloes,Colorado Buffaloes,COLO
38,3,Houston,Cougars,Houston Cougars,HOU
39,3,Iowa State,Cyclones,Iowa State Cyclones,ISU
40,3,Kansas,Jayhawks,Kansas Jayhawks,KU
41,3,Kansas State,Wildcats,Kansas State Wildcats,KSU
42,3,Oklahoma State,Cowboys,Oklahoma State Cowboys,OKST
43,3,TCU,Horned Frogs,TCU Horned Frogs,TCU
44,3,Texas Tech,Red Raiders,Texas Tech Red Raiders,TTU
45,3,UCF,Knights,UCF Knights,UCF
46,3,Utah,Utes,Utah Utes,UTAH
47,3,West Virginia,Mountaineers,West Virginia Mountaineers,WVU
48,4,Illinois,Fighting Illini,Illinois Fighting Illini,ILL
